,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
0,5001-20/88/0/0,Skogvegen 32,7058,CHARLOTTENLUND,Selveier enebolig,441,517,567,2007,0,970.8,2021-02-28,16900000,0.0,16900000.0,0,8,2021-02-22,6,Eiendomsmegler 1,7058,3,4,0,0
1,5001-404/418/0/69,Tellefsens gate 8,7030,TRONDHEIM,Selveierleilighet,135,144,0,2019,5,3673.0,2021-03-01,12500000,0.0,12500000.0,4,3,2021-01-28,32,Eiendomsmegler 1,7030,3,7,1,0
2,5001-76/267/0/15,Siriusvegen 10 A,7037,TRONDHEIM,Selveierleilighet,74,74,81,1995,3,9300.8,2021-03-01,3450000,50690.0,3500690.0,3,2,2021-02-23,6,Eiendomsmegler 1,7037,3,7,1,0
3,5001-52/224/0/128,Heggdalsringen 65,7049,TRONDHEIM,Selveierleilighet,69,73,0,2019,5,4572.6,2021-03-01,4950000,0.0,4950000.0,3,2,2021-03-01,0,Other,7049,8,7,0,0
4,5001-410/683/0/34,Dyre Halses gate 11,7042,TRONDHEIM,Selveierleilighet,55,55,60,2004,7,1043.2,2021-03-01,4380000,0.0,4380000.0,2,2,2021-02-25,4,DNB Eiendom,7042,1,7,1,0
5,5001-521/263/0/0,Skjoldvegen 10,7540,KLÃ†BU,Selveier enebolig,244,333,366,1989,0,807.6,2021-03-02,5850000,0.0,5850000.0,5,4,2021-03-02,0,Other,7540,8,4,0,0
6,959157871/47,Sollia 33,7033,TRONDHEIM,Borettslagsleilighet,86,89,0,1976,3,59117.9,2021-03-02,3450000,171952.0,3621952.0,4,3,2021-02-19,11,Heimdal Eiendomsmegling,7033,4,3,0,0
7,5001-409/27/0/3,Kirkegata 12 D,7014,TRONDHEIM,Selveierleilighet,52,52,57,1880,1,297.0,2021-03-02,3650000,0.0,3650000.0,0,2,2021-02-19,11,Eiendomsmegler 1,7014,3,7,0,0
8,5001-414/203/0/0,Ladehammerveien 28 B,7040,TRONDHEIM,Selveier enebolig,300,313,0,1965,0,1436.4,2021-03-02,15000000,0.0,15000000.0,0,10,2021-02-19,11,Heimdal Eiendomsmegling,7040,4,4,0,0
9,948659158/29,Fredrikke Qvams veg 20 E,7046,TRONDHEIM,Borettslagsleilighet,67,67,73,1960,3,30239.4,2021-03-02,3950000,91568.0,4041568.0,3,3,2020-09-04,179,DNB Eiendom,7046,1,3,1,1
10,5001-48/180/0/21,Wilhelm K. StÃ¸rens veg 59,7048,TRONDHEIM,Selveierleilighet,35,44,48,2007,1,13071.3,2021-03-02,2270000,2720.0,2272720.0,2,1,2021-02-19,11,Eiendomsmegler 1,7048,3,7,1,1
11,5001-187/143/0/0,LÃ¦gdgrinda 32,7026,TRONDHEIM,Selveier tomannsbolig,128,138,151,2005,0,253.5,2021-03-02,4500000,0.0,4500000.0,5,3,2021-02-19,11,Heimdal Eiendomsmegling,7026,4,6,1,0
12,981622065/7,Laura HangerÃ¥s' veg 4 C,7026,TRONDHEIM,Borettslagsleilighet,91,95,0,2000,2,4390.9,2021-03-02,2890000,539453.0,3429453.0,4,2,2021-02-22,8,Meglerhuset Nylander,7026,7,3,0,0
13,5001-62/454/0/1,Gressbanevegen 3,7031,TRONDHEIM,Selveierleilighet,100,109,117,1948,1,570.6,2021-03-02,3720000,0.0,3720000.0,3,5,2020-12-28,0,Aktiv,7031,0,7,0,1
14,848819662/201,Ã˜vre FlatÃ¥sveg 29 B,7079,FLATÃ…SEN,Borettslagsleilighet,85,85,87,1975,1,94067.0,2021-03-02,2950000,97944.0,3047944.0,3,3,2021-02-19,11,Heimdal Eiendomsmegling,7079,4,3,0,0
15,848819662/104,Ã˜vre FlatÃ¥sveg 11 A,7079,FLATÃ…SEN,Borettslagsleilighet,85,87,95,1975,3,94067.0,2021-03-02,2390000,97944.0,2487944.0,3,2,2021-02-19,11,Heimdal Eiendomsmegling,7079,4,3,0,0
16,948726017/102,Moltmyra 34,7091,TILLER,Borettslag rekkehus,96,100,109,1981,0,7535.5,2021-03-02,3050000,418344.0,3468344.0,4,3,2021-02-23,7,Proaktiv,7091,10,1,1,1
17,5001-29/150/0/24,Solveig Abrahamsens veg 20 E,7054,RANHEIM,Selveier enebolig,85,85,0,2018,0,2975.0,2021-03-02,4540000,0.0,4540000.0,4,3,2021-02-19,11,Eiendomsmegler 1,7054,3,4,0,0
18,5001-11/71/0/0,Veimester Kroghs gate 8,7052,TRONDHEIM,Selveier tomannsbolig,0,216,0,1952,0,1198.9,2021-03-02,12000000,0.0,12000000.0,0,0,2021-03-02,0,Other,7052,8,6,0,0
19,5001-66/322/0/0,Astri Aasens veg 17 A,7051,TRONDHEIM,Selveier tomannsbolig,126,133,146,1955,0,529.6,2021-03-02,7150000,0.0,7150000.0,4,3,2021-02-22,8,Meglerhuset Nylander,7051,7,6,1,0
20,931928481/118,Starrmyra 12,7091,TILLER,Borettslagsleilighet,88,93,105,1984,2,44016.5,2021-03-02,3200000,197925.0,3397925.0,3,2,2021-02-12,18,Aktiv,7091,0,3,0,0
21,948722585/227,Karolinerveien 7 A,7021,TRONDHEIM,Borettslagsleilighet,31,31,34,1966,1,44327.8,2021-03-02,1980000,15200.0,1995200.0,1,1,2021-02-19,11,Eiendomsmegler 1,7021,3,3,0,1
22,5001-410/358/0/2,Sigurd Bergs alle 8,7043,TRONDHEIM,Selveierleilighet,57,57,62,1937,1,931.8,2021-03-02,3640000,0.0,3640000.0,0,2,2021-02-20,10,Eiendomsmegler 1,7043,3,7,1,1
23,948722585/227,Karolinerveien 7 A,7021,TRONDHEIM,Borettslagsleilighet,31,31,34,1966,1,44327.8,2021-03-02,1980000,15200.0,1995200.0,1,1,2021-02-19,11,Eiendomsmegler 1,7021,3,3,0,1
24,5001-70/167/0/3,Iduns veg 1,7035,TRONDHEIM,Selveierleilighet,67,71,79,1994,2,170.0,2021-03-02,3350000,0.0,3350000.0,3,2,2021-03-02,0,Other,7035,8,7,1,0
25,5001-412/411/0/41,Julianus Holms veg 26,7041,TRONDHEIM,Selveierleilighet,40,40,44,2015,1,1659.2,2021-03-02,2685000,0.0,2685000.0,2,1,2021-02-22,8,DNB Eiendom,7041,1,7,1,0
26,5001-49/310/0/13,Ã˜vre GranÃ¥slia 13,7047,TRONDHEIM,Selveierleilighet,57,78,84,2020,2,5519.6,2021-03-02,3790000,0.0,3790000.0,1,2,2021-02-19,11,DNB Eiendom,7047,1,7,1,0
27,963954735/210,Lillebergvegen 6 B,7052,TRONDHEIM,Borettslagsleilighet,36,36,39,1962,2,5022.7,2021-03-03,2490000,1160.0,2491160.0,2,1,2021-02-19,12,Eiendomsmegler 1,7052,3,3,0,0
28,5001-49/312/0/27,Ã˜vre GranÃ¥slia 23,7047,TRONDHEIM,Selveierleilighet,55,62,0,2020,1,6534.8,2021-03-03,3700000,0.0,3700000.0,3,2,2021-01-29,33,Heimdal Eiendomsmegling,7047,4,7,0,0
29,5001-73/271/0/75,Sorgenfriveien 26,7031,TRONDHEIM,Selveierleilighet,32,36,0,2020,7,1198.1,2021-03-03,3050000,0.0,3050000.0,2,0,2021-02-24,7,Heimdal Eiendomsmegling,7031,4,7,0,0
30,5001-73/271/0/66,Sorgenfriveien 26,7031,TRONDHEIM,Selveierleilighet,57,61,61,2019,5,1198.1,2021-03-03,4190000,0.0,4190000.0,3,2,2021-01-01,61,EIE Eiendomsmegling,7031,2,7,1,0
31,954872416/170,Edgar B. Schieldrops veg 22 B,7033,TRONDHEIM,Borettslagsleilighet,64,64,69,1973,2,56058.1,2021-03-03,2970000,316865.0,3286865.0,2,2,2021-02-13,18,Heimdal Eiendomsmegling,7033,4,3,1,0
32,5001-71/6/0/2,KlÃ¦buveien 221 B,7037,TRONDHEIM,Selveierleilighet,69,74,80,2014,1,974.6,2021-03-03,3750000,0.0,3750000.0,3,2,2020-03-11,357,Eiendomsmegler 1,7037,3,7,1,0
33,986896244/116,Ratesvingen 12,7038,TRONDHEIM,Borettslagsleilighet,52,52,58,2007,1,2997.7,2021-03-03,1730000,625180.0,2355180.0,2,1,2021-02-24,7,Proaktiv,7038,10,3,1,1
34,5001-324/65/0/0,Movollen 35,7091,TILLER,Selveier rekkehus,159,179,204,2009,0,176.4,2021-03-03,5700000,0.0,5700000.0,4,4,2021-03-03,0,Eiendomsmegler 1,7091,3,5,1,0
35,950117427/340,Kolstadtunet 8 B,7098,SAUPSTAD,Borettslagsleilighet,92,94,0,1971,4,100498.6,2021-03-03,2220000,73500.0,2293500.0,0,3,2021-02-23,8,Eiendomsmegler 1,7098,3,3,0,0
36,5001-415/233/0/49,StjÃ¸rdalsveien 17,7066,TRONDHEIM,Selveierleilighet,43,43,0,2017,3,890.7,2021-03-03,3100000,0.0,3100000.0,3,2,2021-03-03,0,Other,7066,8,7,0,0
37,5001-409/418/0/0,AsbjÃ¸rnsens gate 13,7052,TRONDHEIM,Selveier tomannsbolig,259,346,375,1931,0,759.4,2021-03-03,13125000,0.0,13125000.0,0,8,2021-02-19,12,Heimdal Eiendomsmegling,7052,4,6,1,0
38,959395187/21,Nyheimsvegen 23 D,7058,CHARLOTTENLUND,Borettslagsleilighet,70,70,78,1959,2,3448.5,2021-03-03,2550000,375199.0,2925199.0,3,2,2021-02-23,8,Krogsveen,7058,5,3,0,0
39,5001-406/234/0/4,Eidsvolls gate 34,7052,TRONDHEIM,Selveierleilighet,0,94,0,1920,1,737.6,2021-03-03,2850000,0.0,2850000.0,4,0,2021-03-03,0,Other,7052,8,7,0,0
40,5001-410/652/0/41,Dokkgata 2 B,7042,TRONDHEIM,Selveierleilighet,73,78,85,1998,4,2634.9,2021-03-03,5650000,0.0,5650000.0,3,2,2020-12-27,66,Eiendomsmegler 1,7042,3,7,1,0
41,948924781/189,Einar Ã˜fstis veg 43,7033,TRONDHEIM,Borettslagsleilighet,35,35,38,1967,2,9583.3,2021-03-03,1920000,171115.0,2091115.0,2,1,2021-02-22,9,Eiendomsmegler 1,7033,3,3,0,0
42,988131458/8,Anton Bergs veg 24 B,7099,FLATÃ…SEN,Borettslagsleilighet,100,106,116,2006,1,7304.1,2021-03-03,2520000,817163.0,3337163.0,4,3,2020-09-19,165,Privatmegleren,7099,9,3,0,1
43,959309728/32,KlÃ¦buveien 46,7030,TRONDHEIM,Borettslagsleilighet,68,68,75,1952,4,781.0,2021-03-03,3650000,96056.0,3746056.0,0,2,2021-02-25,6,Meglerhuset Nylander,7030,7,3,1,1
44,5001-17/801/0/7,Anton Jenssens veg 100 B,7053,RANHEIM,Selveierleilighet,100,100,107,2006,2,1873.0,2021-03-03,4250000,0.0,4250000.0,4,3,2021-02-17,14,Eiendomsmegler 1,7053,3,7,1,1
45,5001-97/1165/0/3,Skjermvegen 68 D,7023,TRONDHEIM,Selveier rekkehus,0,158,0,2021,0,0.0,2021-03-03,5950000,0.0,5950000.0,5,0,2021-03-03,0,Other,7023,8,5,0,0
46,948717867/85,Olav Engelbrektssons alle 46,7040,TRONDHEIM,Borettslagsleilighet,67,67,74,1955,1,7271.5,2021-03-03,2675000,239220.0,2914220.0,3,2,2021-02-16,15,DNB Eiendom,7040,1,3,0,0
47,5001-17/860/0/179,Strindfjordvegen 6,7053,RANHEIM,Selveierleilighet,62,66,73,2017,2,14880.0,2021-03-03,3790000,0.0,3790000.0,3,2,2021-02-18,13,DNB Eiendom,7053,1,7,1,0
48,5001-66/387/0/0,Bregnevegen 58 A,7050,TRONDHEIM,Selveier rekkehus,115,127,142,1966,0,214.9,2021-03-03,4615000,0.0,4615000.0,0,3,2021-02-24,7,Privatmegleren,7050,9,5,0,0
49,5001-97/270/0/16,Midelfarts veg 40,7022,TRONDHEIM,Selveierleilighet,90,90,99,2015,4,18119.0,2021-03-03,6200000,0.0,6200000.0,3,0,2021-02-19,12,Proaktiv,7022,10,7,0,0
50,5001-68/381/0/0,Sunnlandsskrenten 1 A,7032,TRONDHEIM,Selveier enebolig,170,203,223,1962,0,627.4,2021-03-03,7900000,0.0,7900000.0,0,6,2021-02-18,13,Heimdal Eiendomsmegling,7032,4,4,1,0
51,5001-97/270/0/50,Midelfarts veg 44,7022,TRONDHEIM,Selveierleilighet,41,43,48,2015,2,18119.0,2021-03-04,2900000,0.0,2900000.0,2,1,2021-02-25,7,Meglerhuset Nylander,7022,7,7,0,0
52,5001-323/2413/0/0,Ivar Reitens veg 11,7091,TILLER,Selveier rekkehus,158,172,188,2016,0,280.4,2021-03-04,5700000,0.0,5700000.0,4,3,2021-02-24,8,Privatmegleren,7091,9,5,1,0
53,5001-410/693/0/56,Dyre Halses gate 2,7042,TRONDHEIM,Selveierleilighet,59,59,65,2006,6,1532.9,2021-03-04,4650000,11192.0,4661192.0,3,2,2021-02-24,8,Privatmegleren,7042,9,7,1,0
54,5001-97/270/0/104,Midelfarts veg 48,7022,TRONDHEIM,Selveierleilighet,83,83,0,2015,4,18119.0,2021-03-04,5750000,0.0,5750000.0,3,2,2021-02-25,7,Meglerhuset Nylander,7022,7,7,1,0
55,955784863/75,Ole A. Wolds veg 6,7069,TRONDHEIM,Borettslagsleilighet,77,77,84,1969,3,33536.4,2021-03-04,3120000,37699.0,3157699.0,3,2,2021-02-24,8,Eiendomsmegler 1,7069,3,3,1,1
56,985631433/54,Ole Aasveds veg 4,7049,TRONDHEIM,Borettslagsleilighet,60,60,64,2003,2,5748.9,2021-03-04,1960000,496695.0,2456695.0,3,1,2021-01-27,36,Eiendomsmegler 1,7049,3,3,1,0
57,5001-423/206/0/0,SchiÃ¸tz' vei 2,7020,TRONDHEIM,Selveier enebolig,171,206,0,1951,0,1044.5,2021-03-04,7700000,0.0,7700000.0,0,3,2021-02-22,10,Privatmegleren,7020,9,4,1,0
58,5001-411/110/0/94,Innherredsveien 86 A,7067,TRONDHEIM,Selveierleilighet,52,52,55,1936,3,6064.3,2021-03-04,2850000,22512.0,2872512.0,2,1,2021-02-25,7,Proaktiv,7067,10,7,1,1
59,5001-411/170/0/29,Mellomveien 18 B,7067,TRONDHEIM,Selveierleilighet,0,80,0,1920,1,2480.8,2021-03-04,4400000,0.0,4400000.0,3,0,2021-03-04,0,Other,7067,8,7,0,0
60,5001-76/246/0/0,Orionvegen 11 B,7037,TRONDHEIM,Selveier enebolig,0,308,0,1991,0,732.6,2021-03-04,8000000,0.0,8000000.0,0,0,2021-03-04,0,Other,7037,8,4,0,0
61,5001-79/211/0/0,Utleirvegen 39 D,7033,TRONDHEIM,Selveier rekkehus,139,139,151,1963,0,100.7,2021-03-04,4655000,0.0,4655000.0,0,4,2021-02-25,7,Proaktiv,7033,10,5,1,0
62,5001-409/241/0/0,Nedre MÃ¸llenberg gate 39 B,7014,TRONDHEIM,Selveier enebolig,166,182,217,1877,0,293.7,2021-03-04,7500000,0.0,7500000.0,0,4,2021-01-17,46,EIE Eiendomsmegling,7014,2,4,0,0
63,5001-48/152/0/34,Haakon Odd Christiansens veg 37,7048,TRONDHEIM,Selveierleilighet,36,45,49,2006,2,8018.9,2021-03-04,2370000,0.0,2370000.0,2,1,2021-02-24,8,DNB Eiendom,7048,1,7,1,0
64,5001-19/443/0/2,Brattvollvegen 12 C,7056,RANHEIM,Selveier tomannsbolig,136,141,0,2018,0,678.0,2021-03-04,5590000,0.0,5590000.0,5,4,2021-02-23,9,DNB Eiendom,7056,1,6,1,0
65,5001-421/316/0/5,Osloveien 8,7017,TRONDHEIM,Selveierleilighet,47,47,52,1914,3,523.7,2021-03-04,3390000,0.0,3390000.0,0,1,2021-02-26,6,Privatmegleren,7017,9,7,0,0
66,5001-416/158/0/0,Nidareid 1,7017,TRONDHEIM,Selveier enebolig,180,285,331,1936,0,596.5,2021-03-04,9000000,0.0,9000000.0,6,3,2020-10-19,136,Privatmegleren,7017,9,4,0,0
67,5001-401/216/0/20,Danielsbakerveita 7,7010,TRONDHEIM,Selveierleilighet,46,50,55,2004,3,837.2,2021-03-04,3300000,0.0,3300000.0,2,1,2021-02-24,8,Meglerhuset Nylander,7010,7,7,0,0
68,5001-14/183/0/0,Ã…kervegen 7 C,7046,TRONDHEIM,Selveier enebolig,226,257,280,1995,0,610.5,2021-03-04,9500000,0.0,9500000.0,7,4,2021-02-23,9,Proaktiv,7046,10,4,1,0
69,5001-59/151/0/1,Paul Fjermstads veg 7,7052,TRONDHEIM,Selveierleilighet,90,90,103,1956,1,1090.0,2021-03-04,4400000,0.0,4400000.0,3,2,2021-02-20,12,DNB Eiendom,7052,1,7,1,1
70,5001-65/33/0/0,KringsjÃ¥vegen 45 C,7032,TRONDHEIM,Selveier enebolig,146,166,0,2017,0,518.9,2021-03-04,9800000,0.0,9800000.0,0,4,2021-02-22,10,Meglerhuset Nylander,7032,7,4,1,0
71,5001-101/58/0/0,Gammel-lina 16,7028,TRONDHEIM,Selveier enebolig,226,270,292,1947,0,1464.0,2021-03-04,5750000,0.0,5750000.0,0,5,2021-02-19,13,EIE Eiendomsmegling,7028,2,4,0,1
72,954872416/225,Arne Fjellbus veg 4 B,7033,TRONDHEIM,Borettslagsleilighet,65,65,72,1972,3,51978.0,2021-03-04,3350000,316865.0,3666865.0,2,2,2021-02-24,8,Proaktiv,7033,10,3,1,1
73,5001-29/153/0/16,Solveig Abrahamsens veg 24,7054,RANHEIM,Selveierleilighet,67,70,0,2020,3,3096.4,2021-03-04,4000000,0.0,4000000.0,3,2,2021-03-04,0,Other,7054,8,7,1,0
74,5001-409/477/0/3,Kirkegata 17 B,7014,TRONDHEIM,Selveierleilighet,86,86,96,1896,2,303.8,2021-03-04,3900000,0.0,3900000.0,0,4,2021-03-04,0,Heimdal Eiendomsmegling,7014,4,7,1,1
75,5001-198/7/0/0,Kirkeringen 4,7080,HEIMDAL,Selveier enebolig,66,59,0,2021,3,2907.0,2021-03-05,3660000,0.0,3660000.0,0,2,2020-12-11,84,Heimdal Eiendomsmegling,7080,4,4,1,0
76,5001-177/823/0/20,Johan Arnt HÃ¸iseths veg 20,7089,HEIMDAL,Selveier rekkehus,0,126,0,2021,0,0.0,2021-03-05,4450000,0.0,4450000.0,5,0,2021-03-05,0,Other,7089,8,5,0,0
77,5001-410/668/0/104,Trenerys gate 4,7042,TRONDHEIM,Selveierleilighet,54,57,68,2003,4,6553.7,2021-03-05,4430000,0.0,4430000.0,2,1,2021-03-01,4,Meglerhuset Nylander,7042,7,7,1,0
78,813721392/56,Harald HÃ¥rfagres gate 3 A,7041,TRONDHEIM,Borettslagsleilighet,98,103,115,2014,2,0.0,2021-03-05,3050000,2062000.0,5112000.0,4,3,2021-02-24,9,Proaktiv,7041,10,3,0,0
79,5001-415/222/0/36,Ladeveien 21,7066,TRONDHEIM,Selveierleilighet,54,58,0,2018,4,1117.8,2021-03-05,3990000,0.0,3990000.0,3,2,2021-02-24,9,Eiendomsmegler 1,7066,3,7,1,0
80,919077646/15,StjÃ¸rdalsveien 21,7066,TRONDHEIM,Borettslagsleilighet,28,28,30,2017,1,1067.7,2021-03-05,1320000,1010000.0,2330000.0,2,1,2021-02-26,7,DNB Eiendom,7066,1,3,0,0
81,5001-194/261/0/0,Nyveilia 86,7072,HEIMDAL,Selveier rekkehus,111,113,122,1981,0,152.7,2021-03-05,3000000,0.0,3000000.0,0,3,2021-02-27,6,DNB Eiendom,7072,1,5,1,0
82,5001-100/449/0/3,Osloveien 298 A,7028,TRONDHEIM,Selveier rekkehus,72,72,84,2008,0,595.0,2021-03-05,2850000,0.0,2850000.0,3,2,2021-03-05,0,Heimdal Eiendomsmegling,7028,4,5,1,0
83,5001-101/107/0/0,Sivert GjÃ¸rtlers veg 8,7028,TRONDHEIM,Selveier tomannsbolig,221,241,260,1959,0,935.4,2021-03-05,5630000,0.0,5630000.0,0,6,2020-12-04,91,Eiendomsmegler 1,7028,3,6,1,0
84,5001-401/109/0/11,TaraldsgÃ¥rdsveita 7,7010,TRONDHEIM,Selveierleilighet,41,41,44,2004,3,298.5,2021-03-05,2920000,0.0,2920000.0,2,1,2021-02-26,7,Eiendomsmegler 1,7010,3,7,1,0
85,951497940/292,Vestre Hallsetvangen 1 B,7027,TRONDHEIM,Borettslagsleilighet,29,29,32,1968,2,40014.4,2021-03-05,1850000,122109.0,1972109.0,1,1,2021-01-27,37,Eiendomsmegler 1,7027,3,3,0,0
86,5001-98/290/0/0,HoemshÃ¸gda 48 C,7023,TRONDHEIM,Selveier rekkehus,108,130,0,1966,0,159.0,2021-03-05,4100000,0.0,4100000.0,0,3,2021-02-25,8,DNB Eiendom,7023,1,5,1,0
87,5001-79/194/0/0,Rudolf RÃ¦ders veg 7,7033,TRONDHEIM,Selveier rekkehus,188,229,0,1974,0,657.0,2021-03-05,7550000,0.0,7550000.0,0,5,2021-02-19,14,Eiendomsmegler 1,7033,3,5,0,0
88,5001-21/755/0/0,RÃ¸sslyngvegen 18 B,7058,CHARLOTTENLUND,Selveier enebolig,142,156,172,1965,0,165.0,2021-03-05,5000000,0.0,5000000.0,0,3,2021-02-25,8,Privatmegleren,7058,9,4,1,0
89,5001-98/270/0/0,HoemshÃ¸gda 36 C,7023,TRONDHEIM,Selveier rekkehus,115,118,129,1966,0,179.0,2021-03-05,4820000,0.0,4820000.0,0,3,2021-02-25,8,Heimdal Eiendomsmegling,7023,4,5,1,0
90,5001-424/16/0/0,Gamle Oslovei 54,7020,TRONDHEIM,Selveier tomannsbolig,226,267,295,1961,0,604.5,2021-03-05,6950000,0.0,6950000.0,0,5,2021-02-22,11,Eiendomsmegler 1,7020,3,6,0,0
91,5001-425/2/0/19,Gamle Oslovei 5,7020,TRONDHEIM,Selveierleilighet,93,93,102,2017,3,3143.3,2021-03-05,8000000,0.0,8000000.0,3,3,2021-02-21,12,Privatmegleren,7020,9,7,0,0
92,5001-422/160/0/2,Oscar Wistings vei 20,7020,TRONDHEIM,Selveierleilighet,0,150,0,2021,1,1127.6,2021-03-05,9900000,0.0,9900000.0,3,0,2021-03-05,0,Other,7020,8,7,0,0
93,5001-52/225/0/89,Heggdalsringen 59,7049,TRONDHEIM,Selveierleilighet,29,29,31,2019,1,2759.0,2021-03-05,2385000,0.0,2385000.0,0,1,2021-02-26,7,Privatmegleren,7049,9,7,0,0
94,5001-17/860/0/194,Strindfjordvegen 4,7053,RANHEIM,Selveierleilighet,72,77,83,2017,4,14880.0,2021-03-05,4290000,0.0,4290000.0,3,2,2020-09-09,177,DNB Eiendom,7053,1,7,1,0
95,5001-521/519/0/10,Granmovegen 18,7540,KLÃ†BU,Selveierleilighet,68,68,0,2018,1,2190.4,2021-03-05,2950000,0.0,2950000.0,3,2,2021-02-23,10,Eiendomsmegler 1,7540,3,7,1,0
96,5001-402/196/0/19,Munkegata 40 B,7011,TRONDHEIM,Selveierleilighet,43,43,47,1995,4,792.1,2021-03-05,2700000,0.0,2700000.0,2,1,2021-03-05,0,Other,7011,8,7,1,0
97,5001-59/1/3/1,Jonsvannsveien 19 A,7052,TRONDHEIM,Selveierleilighet,56,56,63,1928,1,966.8,2021-03-05,3600000,0.0,3600000.0,0,1,2021-02-24,9,EIE Eiendomsmegling,7052,2,7,0,0
98,5001-411/201/0/37,Anders Buens gate 17,7067,TRONDHEIM,Selveierleilighet,46,46,51,1938,3,1533.2,2021-03-05,2875000,143608.0,3018608.0,0,1,2021-02-23,10,DNB Eiendom,7067,1,7,1,0
99,5001-24/419/0/6,Horgvegen 2,7055,RANHEIM,Selveierleilighet,73,77,82,2013,1,3529.5,2021-03-05,3590000,0.0,3590000.0,3,2,2020-10-23,133,Eiendomsmegler 1,7055,3,7,1,0
100,848819662/91,Ã˜vre FlatÃ¥sveg 9 B,7079,FLATÃ…SEN,Borettslagsleilighet,57,58,65,1976,2,94067.0,2021-03-05,2290000,70894.0,2360894.0,2,1,2021-02-25,8,Heimdal Eiendomsmegling,7079,4,3,0,0
101,954872416/153,Edgar B. Schieldrops veg 20 A,7033,TRONDHEIM,Borettslagsleilighet,73,73,0,1973,3,56058.1,2021-03-05,2940000,362921.0,3302921.0,3,2,2021-02-25,8,Eiendomsmegler 1,7033,3,3,0,0
102,5001-4/14/0/79,Gildheimsvegen 7 A,7044,TRONDHEIM,Selveierleilighet,68,72,0,2013,2,8657.3,2021-03-05,4320000,0.0,4320000.0,3,2,2021-02-24,9,DNB Eiendom,7044,1,7,1,0
103,848730122/87,Rostengrenda 115,7091,TILLER,Borettslag rekkehus,141,152,159,1979,0,37266.3,2021-03-05,3000000,429657.0,3429657.0,4,3,2021-02-26,7,EIE Eiendomsmegling,7091,2,1,0,0
104,5001-104/101/0/0,Nils Uhlin Hansens veg 19,7026,TRONDHEIM,Selveier enebolig,92,92,99,1929,0,766.3,2021-03-05,4040000,0.0,4040000.0,0,3,2020-09-26,160,EIE Eiendomsmegling,7026,2,4,1,0
105,5001-409/240/0/0,Nedre MÃ¸llenberg gate 39 A,7014,TRONDHEIM,Selveierleilighet,250,281,322,1900,0,223.5,2021-03-05,10050000,0.0,10050000.0,0,6,2020-05-26,283,Meglerhuset Nylander,7014,7,7,1,0
106,5001-411/81/0/1,Frostaveien 12,7068,TRONDHEIM,Selveierleilighet,33,33,40,1910,1,822.3,2021-03-05,1990000,40622.0,2030622.0,2,1,2021-02-13,20,Eiendomsmegler 1,7068,3,7,0,0
107,5001-103/1082/0/0,Dalstien 15,7024,TRONDHEIM,Selveier enebolig,135,150,165,1978,0,434.4,2021-03-05,6050000,0.0,6050000.0,0,3,2021-02-22,11,Eiendomsmegler 1,7024,3,4,1,0
108,5001-49/308/0/23,Ã˜vre GranÃ¥slia 9,7047,TRONDHEIM,Selveierleilighet,53,64,70,2019,2,6153.3,2021-03-05,3650000,0.0,3650000.0,3,2,2021-02-25,8,Privatmegleren,7047,9,7,1,0
109,5001-104/1517/0/0,Enromvegen 50,7026,TRONDHEIM,Selveier tomannsbolig,113,115,128,1987,0,363.1,2021-03-05,5600000,0.0,5600000.0,4,3,2021-02-26,7,Eiendomsmegler 1,7026,3,6,0,0
110,948719444/87,Olav Magnussons veg 3,7046,TRONDHEIM,Borettslagsleilighet,90,108,0,1966,8,50812.7,2021-03-07,3550000,383038.0,3933038.0,4,3,2021-02-22,13,Eiendomsmegler 1,7046,3,3,0,0
111,5001-29/150/0/33,Solveig Abrahamsens veg 18,7054,RANHEIM,Selveierleilighet,42,46,0,2018,1,2975.0,2021-03-08,2530000,0.0,2530000.0,2,1,2021-02-25,11,Eiendomsmegler 1,7054,3,7,0,0
112,5001-194/429/0/0,Nedre FlatÃ¥sveg 397,7099,FLATÃ…SEN,Selveier enebolig,185,223,246,1998,0,818.0,2021-03-08,6720000,0.0,6720000.0,6,4,2021-02-26,10,Heimdal Eiendomsmegling,7099,4,4,0,0
113,5001-80/377/0/0,Steinanvegen 76 H,7049,TRONDHEIM,Selveier enebolig,186,200,0,2020,0,388.2,2021-03-08,11800000,0.0,11800000.0,5,4,2021-01-14,53,Meglerhuset Nylander,7049,7,4,1,0
114,5001-49/311/0/11,Ã˜vre GranÃ¥slia 17,7047,TRONDHEIM,Selveierleilighet,0,45,0,2019,3,3219.3,2021-03-08,2920000,0.0,2920000.0,3,2,2021-03-08,0,Heimdal Eiendomsmegling,7047,4,7,0,0
115,950997095/119,Tranevegen 44 D,7082,KATTEM,Borettslagsleilighet,53,55,60,1978,2,47117.1,2021-03-08,1650000,318518.0,1968518.0,2,1,2021-02-24,12,Eiendomsmegler 1,7082,3,3,0,0
116,5001-59/1/2/0,Jonsvannsveien 16,7052,TRONDHEIM,Selveier tomannsbolig,281,332,0,1928,0,885.1,2021-03-08,10020000,0.0,10020000.0,0,2,2021-02-24,12,Meglerhuset Nylander,7052,7,6,0,0
