,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
12327,5001-12/78/0/3,Bromstadvegen 25 A,7045,TRONDHEIM,Selveierleilighet,60,60,65,1954,1,939.8,2022-12-13,3188000,0.0,3188000.0,0,2,2022-10-07,67,Privatmegleren,7045,9,7,1,0
12328,5001-320/212/0/6,Okstadvegen 155,7075,TILLER,Selveierleilighet,62,67,67,2007,1,837.7,2022-12-13,3020000,0.0,3020000.0,3,2,2022-11-17,26,Heimdal Eiendomsmegling,7075,4,7,1,0
12329,5001-102/3/0/17,Nordre Hallsetveg 105 B,7023,TRONDHEIM,Selveierleilighet,73,76,0,2019,1,3796.5,2022-12-13,4300000,0.0,4300000.0,3,2,2022-09-16,88,DNB Eiendom,7023,1,7,1,0
12330,5001-49/308/0/42,Ã˜vre GranÃ¥slia 9,7047,TRONDHEIM,Selveierleilighet,0,63,0,2019,4,6153.3,2022-12-13,4000000,0.0,4000000.0,3,0,2022-12-13,0,Other,7047,8,7,0,0
12331,5001-9/828/0/6,Ulavegen 7 B,7045,TRONDHEIM,Selveierleilighet,0,70,0,1943,2,1639.8,2022-12-13,5000000,0.0,5000000.0,3,0,2022-12-13,0,Other,7045,8,7,0,0
12332,5001-24/435/0/21,Horgvegen 5,7055,RANHEIM,Selveierleilighet,76,80,0,2015,2,5222.8,2022-12-13,4390000,3374.0,4393374.0,3,2,2022-12-02,11,Eiendomsmegler 1,7055,3,7,1,0
12333,5001-318/77/0/1,OkstadÃ¸y 78,7029,TRONDHEIM,Selveierleilighet,63,82,89,1993,1,344.3,2022-12-13,3150000,0.0,3150000.0,2,2,2022-12-03,10,Heimdal Eiendomsmegling,7029,4,7,1,1
12334,948969858/387,Storflata 3,7029,TRONDHEIM,Borettslagsleilighet,75,75,0,1973,4,194023.0,2022-12-13,2300000,169242.0,2469242.0,3,2,2022-11-08,35,DNB Eiendom,7029,1,3,1,0
12335,5001-417/90/0/30,Mellomila 92,7018,TRONDHEIM,Selveierleilighet,42,42,45,2005,4,2642.5,2022-12-14,3390000,0.0,3390000.0,2,1,2022-10-20,55,Privatmegleren,7018,9,7,1,0
12336,5001-409/307/0/18,Verftsgata 1 C,7042,TRONDHEIM,Selveierleilighet,28,28,31,2018,5,285.1,2022-12-14,3050000,0.0,3050000.0,2,1,2022-09-16,89,DNB Eiendom,7042,1,7,1,0
12337,5001-103/236/0/21,Anders Wigens veg 24 B,7024,TRONDHEIM,Selveierleilighet,69,74,79,2006,1,4013.9,2022-12-14,3390000,0.0,3390000.0,3,2,2022-12-14,0,Other,7024,8,7,1,0
12338,948655616/33,Stiklestadveien 9 C,7066,TRONDHEIM,Borettslagsleilighet,63,63,0,1953,2,1770.3,2022-12-14,3050000,126305.0,3176305.0,3,2,2022-11-23,21,Eiendomsmegler 1,7066,3,3,0,0
